target,method,smape_percent,rf_weight,lgb_weight,lag_method,lag_weight,rf_weight_in_other_part
Q0_COST_OF_REVENUES,lag_q1,18.05066334952094,,,q1,1.0,
Q0_COST_OF_REVENUES,lag_q1_w0.75_plus_rf_lgb,19.46351744168903,,,q1,0.75,0.0
Q0_COST_OF_REVENUES,lag_mean_q1_q2,20.689452123380004,,,mean_q1_q2,1.0,
Q0_COST_OF_REVENUES,lag_q1_w0.50_plus_rf_lgb,20.812466767075684,,,q1,0.5,0.0
Q0_COST_OF_REVENUES,lag_mean_q1_q2_w0.75_plus_rf_lgb,20.839790515940077,,,mean_q1_q2,0.75,0.0
Q0_COST_OF_REVENUES,lag_weighted_q1_q4,21.258049542827408,,,weighted_q1_q4,1.0,
Q0_COST_OF_REVENUES,lag_mean_q1_q2_w0.50_plus_rf_lgb,21.305398326299716,,,mean_q1_q2,0.5,0.0
Q0_COST_OF_REVENUES,lag_weighted_q1_q4_w0.75_plus_rf_lgb,21.310018852891286,,,weighted_q1_q4,0.75,0.0
Q0_COST_OF_REVENUES,lag_weighted_q1_q4_w0.50_plus_rf_lgb,21.729518578660215,,,weighted_q1_q4,0.5,0.0
Q0_COST_OF_REVENUES,lag_q1_w0.25_plus_rf_lgb,21.833679688402004,,,q1,0.25,0.0
Q0_COST_OF_REVENUES,lag_mean_q1_q2_w0.25_plus_rf_lgb,21.862399021162986,,,mean_q1_q2,0.25,0.0
Q0_COST_OF_REVENUES,lag_weighted_q1_q4_w0.25_plus_rf_lgb,22.01581065218264,,,weighted_q1_q4,0.25,0.0
Q0_COST_OF_REVENUES,lag_mean_q1_q4_w0.25_plus_rf_lgb,22.87549906955221,,,mean_q1_q4,0.25,0.0
Q0_COST_OF_REVENUES,rf_lgb_rf_weight_0.00,22.89824324621582,0.0,1.0,,,
Q0_COST_OF_REVENUES,lag_mean_q1_q4_w0.50_plus_rf_lgb,23.77197920059528,,,mean_q1_q4,0.5,0.0
Q0_COST_OF_REVENUES,hist_gradient_boosting,24.829885248637996,,,,,
Q0_COST_OF_REVENUES,lag_mean_q1_q4_w0.75_plus_rf_lgb,24.968866398443947,,,mean_q1_q4,0.75,0.0
Q0_COST_OF_REVENUES,rf_lgb_rf_weight_0.25,26.161795020634628,0.25,0.75,,,
Q0_COST_OF_REVENUES,lag_mean_q1_q4,26.631080025350784,,,mean_q1_q4,1.0,
Q0_COST_OF_REVENUES,rf_lgb_rf_weight_0.50,30.590486342195515,0.5,0.5,,,
Q0_COST_OF_REVENUES,rf_lgb_rf_weight_0.75,35.14599487393144,0.75,0.25,,,
Q0_COST_OF_REVENUES,rf_lgb_rf_weight_1.00,39.8986593822762,1.0,0.0,,,
Q0_EBITDA,lightgbm_arcsinh_lag,50.35651413686492,,,,,
Q0_EBITDA,lightgbm_raw_lag,59.20760752805529,,,,,
Q0_EBITDA,rf_lgb_rf_weight_0.25,59.93536549625878,0.25,0.75,,,
Q0_EBITDA,rf_lgb_rf_weight_0.00,60.20131046682374,0.0,1.0,,,
Q0_EBITDA,lag_q1_w0.25_plus_rf_lgb,61.31960177125673,,,q1,0.25,0.25
Q0_EBITDA,lag_weighted_q1_q4_w0.25_plus_rf_lgb,61.33405671313837,,,weighted_q1_q4,0.25,0.25
Q0_EBITDA,lag_mean_q1_q2_w0.25_plus_rf_lgb,61.386453557173496,,,mean_q1_q2,0.25,0.25
Q0_EBITDA,hist_gradient_boosting,61.451979901622956,,,,,
Q0_EBITDA,lag_mean_q1_q4_w0.25_plus_rf_lgb,61.476652959661,,,mean_q1_q4,0.25,0.25
Q0_EBITDA,rf_lgb_rf_weight_0.50,62.63474488848225,0.5,0.5,,,
Q0_EBITDA,rf_lgb_rf_weight_0.75,66.77097083041971,0.75,0.25,,,
Q0_EBITDA,lag_q1_w0.50_plus_rf_lgb,68.55571670873039,,,q1,0.5,0.25
Q0_EBITDA,lag_weighted_q1_q4_w0.50_plus_rf_lgb,68.5619724040187,,,weighted_q1_q4,0.5,0.25
Q0_EBITDA,lag_mean_q1_q2_w0.50_plus_rf_lgb,68.71651727274937,,,mean_q1_q2,0.5,0.25
Q0_EBITDA,lag_mean_q1_q4_w0.50_plus_rf_lgb,68.92457010747925,,,mean_q1_q4,0.5,0.25
Q0_EBITDA,rf_lgb_rf_weight_1.00,72.0354902388295,1.0,0.0,,,
Q0_EBITDA,lag_weighted_q1_q4_w0.75_plus_rf_lgb,80.44821317915752,,,weighted_q1_q4,0.75,0.25
Q0_EBITDA,lag_mean_q1_q4_w0.75_plus_rf_lgb,80.64607067877219,,,mean_q1_q4,0.75,0.25
Q0_EBITDA,lag_mean_q1_q2_w0.75_plus_rf_lgb,80.68477743269148,,,mean_q1_q2,0.75,0.25
Q0_EBITDA,lag_q1_w0.75_plus_rf_lgb,81.14067759653233,,,q1,0.75,0.25
Q0_EBITDA,lag_mean_q1_q4,96.36899964645043,,,mean_q1_q4,1.0,
Q0_EBITDA,lag_weighted_q1_q4,97.68444912247628,,,weighted_q1_q4,1.0,
Q0_EBITDA,lag_mean_q1_q2,98.44535807612162,,,mean_q1_q2,1.0,
Q0_EBITDA,lag_q1,100.09491726233865,,,q1,1.0,
Q0_GROSS_PROFIT,lightgbm_arcsinh_lag,23.144757854467265,,,,,
Q0_GROSS_PROFIT,lag_q1,30.303955286330414,,,q1,1.0,
Q0_GROSS_PROFIT,lag_q1_w0.75_plus_rf_lgb,30.9405788927686,,,q1,0.75,0.25
Q0_GROSS_PROFIT,lag_mean_q1_q2,30.959669833419014,,,mean_q1_q2,1.0,
Q0_GROSS_PROFIT,lag_mean_q1_q2_w0.75_plus_rf_lgb,31.19540421429417,,,mean_q1_q2,0.75,0.25
Q0_GROSS_PROFIT,lag_weighted_q1_q4,31.288893993162542,,,weighted_q1_q4,1.0,
Q0_GROSS_PROFIT,lag_weighted_q1_q4_w0.75_plus_rf_lgb,31.63196493759875,,,weighted_q1_q4,0.75,0.25
Q0_GROSS_PROFIT,lag_q1_w0.50_plus_rf_lgb,31.967739687821812,,,q1,0.5,0.25
Q0_GROSS_PROFIT,lag_mean_q1_q2_w0.50_plus_rf_lgb,31.997259606616907,,,mean_q1_q2,0.5,0.25
Q0_GROSS_PROFIT,lag_weighted_q1_q4_w0.50_plus_rf_lgb,32.20690781984244,,,weighted_q1_q4,0.5,0.25
Q0_GROSS_PROFIT,lag_mean_q1_q4_w0.75_plus_rf_lgb,32.83870373126466,,,mean_q1_q4,0.75,0.25
Q0_GROSS_PROFIT,lag_mean_q1_q4,33.068693788144664,,,mean_q1_q4,1.0,
Q0_GROSS_PROFIT,lag_mean_q1_q4_w0.50_plus_rf_lgb,33.292911836143915,,,mean_q1_q4,0.5,0.25
Q0_GROSS_PROFIT,lag_q1_w0.25_plus_rf_lgb,33.30047156910092,,,q1,0.25,0.25
Q0_GROSS_PROFIT,lag_mean_q1_q2_w0.25_plus_rf_lgb,33.336459807522026,,,mean_q1_q2,0.25,0.25
Q0_GROSS_PROFIT,lag_weighted_q1_q4_w0.25_plus_rf_lgb,33.38681639350568,,,weighted_q1_q4,0.25,0.25
Q0_GROSS_PROFIT,lag_mean_q1_q4_w0.25_plus_rf_lgb,34.32171266569007,,,mean_q1_q4,0.25,0.25
Q0_GROSS_PROFIT,rf_lgb_rf_weight_0.25,35.26739428622085,0.25,0.75,,,
Q0_GROSS_PROFIT,rf_lgb_rf_weight_0.00,35.74157750029652,0.0,1.0,,,
Q0_GROSS_PROFIT,lightgbm_raw_lag,35.884145564765404,,,,,
Q0_GROSS_PROFIT,rf_lgb_rf_weight_0.50,36.07919504069767,0.5,0.5,,,
Q0_GROSS_PROFIT,hist_gradient_boosting,36.47380241902604,,,,,
Q0_GROSS_PROFIT,rf_lgb_rf_weight_0.75,37.37531495507766,0.75,0.25,,,
Q0_GROSS_PROFIT,rf_lgb_rf_weight_1.00,39.17882423635118,1.0,0.0,,,
Q0_OPERATING_EXPENSES,rf_lgb_rf_weight_0.00,12.493592507048819,0.0,1.0,,,
Q0_OPERATING_EXPENSES,lag_q1_w0.25_plus_rf_lgb,13.642718499170456,,,q1,0.25,0.0
Q0_OPERATING_EXPENSES,lag_mean_q1_q2_w0.25_plus_rf_lgb,13.707779688341104,,,mean_q1_q2,0.25,0.0
Q0_OPERATING_EXPENSES,lag_weighted_q1_q4_w0.25_plus_rf_lgb,13.720562943736653,,,weighted_q1_q4,0.25,0.0
